DATE	SERIES	OPEN	HIGH	LOW	PREV. CLOSE	LTP	CLOSE	VWAP	52W H	52W L	VOLUME	VALUE	NO. OF  TRADES
04-Feb-26	EQ	"1,993.00"	"2,032.70"	"1,985.10"	"2,012.70"	"2,017.00"	"2,019.60"	"2,016.81"	"2,195.00"	"1,727.25"	1078917	"2,17,59,75,041.60"	52913
03-Feb-26	EQ	"2,019.70"	"2,045.50"	"1,986.30"	"1,930.10"	"2,011.10"	"2,012.70"	"2,015.56"	"2,195.00"	"1,727.25"	1358926	"2,73,89,96,240.40"	74643
02-Feb-26	EQ	"1,908.00"	"1,937.10"	"1,876.60"	"1,908.80"	"1,934.00"	"1,930.10"	"1,913.79"	"2,195.00"	"1,727.25"	1183196	"2,26,43,86,759.80"	84861
01-Feb-26	EQ	"1,945.10"	"1,952.60"	"1,899.20"	"1,952.60"	"1,904.00"	"1,908.80"	"1,926.93"	"2,195.00"	"1,617.00"	872943	"1,68,20,99,904.20"	40532
30-Jan-26	EQ	"1,928.50"	"1,956.60"	"1,927.00"	"1,948.10"	"1,953.70"	"1,952.60"	"1,947.21"	"2,195.00"	"1,617.00"	1342205	"2,61,35,61,012.10"	56899
29-Jan-26	EQ	"1,927.00"	"1,956.80"	"1,921.10"	"1,940.30"	"1,947.30"	"1,948.10"	"1,942.64"	"2,195.00"	"1,617.00"	884350	"1,71,79,77,869.40"	50944
28-Jan-26	EQ	"1,924.00"	"1,944.10"	"1,920.10"	"1,917.70"	"1,942.00"	"1,940.30"	"1,932.02"	"2,195.00"	"1,617.00"	1605973	"3,10,27,78,604.60"	61989
27-Jan-26	EQ	"1,950.20"	"1,971.50"	"1,903.40"	"1,949.00"	"1,926.00"	"1,917.70"	"1,922.60"	"2,195.00"	"1,617.00"	4700126	"9,03,64,65,986.40"	126832
23-Jan-26	EQ	"1,993.10"	"1,994.90"	"1,943.10"	"1,993.10"	"1,954.90"	"1,949.00"	"1,965.11"	"2,195.00"	"1,617.00"	1046873	"2,05,72,18,487.60"	38590
22-Jan-26	EQ	"1,969.80"	"1,996.90"	"1,965.00"	"1,959.90"	"1,995.00"	"1,993.10"	"1,982.97"	"2,195.00"	"1,617.00"	1067186	"2,11,61,94,080.90"	67345
21-Jan-26	EQ	"1,964.90"	"1,973.60"	"1,936.60"	"1,958.70"	"1,966.00"	"1,959.90"	"1,959.07"	"2,195.00"	"1,617.00"	894555	"1,75,24,97,860.00"	53199
20-Jan-26	EQ	"2,017.00"	"2,018.30"	"1,950.20"	"2,017.80"	"1,960.30"	"1,958.70"	"1,970.67"	"2,195.00"	"1,617.00"	1572563	"3,09,90,09,053.30"	68877
19-Jan-26	EQ	"1,995.00"	"2,025.90"	"1,992.00"	"2,002.50"	"2,019.70"	"2,017.80"	"2,012.30"	"2,195.00"	"1,617.00"	587791	"1,18,28,14,602.00"	35435
16-Jan-26	EQ	"2,012.80"	"2,033.00"	"2,000.60"	"2,000.90"	"2,002.00"	"2,002.50"	"2,012.95"	"2,195.00"	"1,617.00"	1177279	"2,36,98,00,148.40"	39874
14-Jan-26	EQ	"2,003.50"	"2,015.80"	"1,993.60"	"2,011.20"	"2,002.60"	"2,000.90"	"2,004.40"	"2,195.00"	"1,617.00"	1062849	"2,13,03,74,652.00"	37801
13-Jan-26	EQ	"1,998.90"	"2,016.00"	"1,991.00"	"1,998.90"	"2,007.00"	"2,011.20"	"2,004.80"	"2,195.00"	"1,617.00"	1216677	"2,43,91,94,178.40"	41526
12-Jan-26	EQ	"1,992.00"	"2,006.40"	"1,972.60"	"1,992.40"	"2,001.40"	"1,998.90"	"1,991.35"	"2,195.00"	"1,617.00"	996702	"1,98,47,78,714.10"	45407
09-Jan-26	EQ	"2,008.90"	"2,014.20"	"1,981.20"	"2,008.90"	"1,989.10"	"1,992.40"	"1,993.32"	"2,195.00"	"1,617.00"	1143760	"2,27,98,80,315.60"	50014
08-Jan-26	EQ	"2,021.00"	"2,029.10"	"1,989.20"	"2,031.90"	"2,005.00"	"2,008.90"	"2,007.81"	"2,195.00"	"1,617.00"	756940	"1,51,97,92,985.00"	48122
07-Jan-26	EQ	"2,040.00"	"2,042.00"	"2,021.00"	"2,044.60"	"2,030.90"	"2,031.90"	"2,030.66"	"2,195.00"	"1,617.00"	653557	"1,32,71,50,209.50"	34005
06-Jan-26	EQ	"2,044.90"	"2,082.00"	"2,040.80"	"2,039.20"	"2,048.00"	"2,044.60"	"2,056.88"	"2,195.00"	"1,617.00"	1236924	"2,54,42,08,540.10"	67372
